formatting flag -- IGNORE but don't delete,natqw_sourceid,natqw_subsourceid,qwdata_source,generic,generic: LAS - use for now,Final,generic: LAS - possible alternative to phosphate (junky),Result after checking,generic: LAS - Action,orig_fraction,Fraction,fraction: LAS - revised,"fraction: LAS with assumptions about total, USE",Result after checking,fraction: LAS - Action or comments,orig_parameter_name,Frequency Count,MLR-Comment,LAS response
0,MD DOE,MD DOE HWD,STORET/WQX,Orthophosphate,Orthophosphate,Orthophosphate,,,,Dissolved,dissolved,filtered,filtered,,,Orthophosphate as P,959,,
1,MD DOE,MD DOE HWD,STORET/WQX,Total dissolved phosphorus,Phosphorus (all),Dissolved phosphorus,,,,Dissolved,dissolved,filtered,filtered,,,Phosphate-phosphorus as P,920,,
1,MD DOE,MD DOE HWD,STORET/WQX,Total phosphorus,Phosphorus (all),Total phosphorus,,,,Total,total,total,unfiltered,,,Phosphate-phosphorus as P,1838,,
1,MI DEQ,MI DEQ,STORET/WQX,Orthophosphate,Orthophosphate,Orthophosphate,,,,Total,total,total,total,,,Orthophosphate as P,872,,
1,MI DEQ,MI DEQ,STORET/WQX,Total phosphorus,Phosphorus (all),Total phosphorus,,,,Total,total,total,total,,,Phosphorus,877,,
0,MI TBMIC,MI TBMIC,STORET/WQX,Total dissolved phosphorus,Phosphorus (all),Dissolved phosphorus,,,,Dissolved,dissolved,filtered,filtered,,,Phosphate-phosphorus,18,,
1,MI TBMIC,MI TBMIC,STORET/WQX,Total dissolved phosphorus,Phosphorus (all),Dissolved phosphorus,,,,Dissolved,dissolved,filtered,filtered,,,Phosphorus as PO4,60,,
0,MI TBMIC,MI TBMIC,STORET/WQX,Total phosphorus,Phosphorus (all),Total phosphorus,,,,Total,total,total,unfiltered,,,Phosphate-phosphorus,18,,
1,MI TBMIC,MI TBMIC,STORET/WQX,Total phosphorus,Phosphorus (all),Total phosphorus,,,,Total,total,total,unfiltered,,,Phosphorus,73,,
0,MI TBMIC,MI TBMIC,STORET/WQX,Total phosphorus,Phosphorus (all),Total phosphorus,,,,Total,total,total,unfiltered,,,Phosphorus as P,60,,
0,MI TLRBOI,MI TLRBOI,STORET/WQX,Total phosphorus,Phosphorus (all),Total phosphorus,,,,Total,total,total,total,,,Phosphate-phosphorus as P,111,,
2,MI TPBPI,MI TPBPI,STORET/WQX,Total phosphorus,,,,,,Total,,,,,,Phosphorus,,,
0,MN PCA,MN PCA,STORET/WQX,Organic phosphorus,Organic phosphorus,Organic phosphorus,,,,Total,total,total,unfiltered,,,Organic phosphorus as P,1485,,
0,MN PCA,MN PCA,STORET/WQX,Orthophosphate,Orthophosphate,Orthophosphate,,,,Dissolved,dissolved,filtered,filtered,,,Orthophosphate as P,9146,,
0,MN PCA,MN PCA,STORET/WQX,Orthophosphate,Orthophosphate,Orthophosphate,,,,Total,total,total,unfiltered,,,Orthophosphate as P,25514,,
0,MN PCA,MN PCA,STORET/WQX,Orthophosphate,Orthophosphate,Orthophosphate,,,,Dissolved,dissolved,filtered,filtered,,,Orthophosphate as PO4,529,,
0,MN PCA,MN PCA,STORET/WQX,Orthophosphate,Orthophosphate,Orthophosphate,,,,Total,total,total,unfiltered,,,Orthophosphate as PO4,1,,
0,MN PCA,MN PCA,STORET/WQX,Total dissolved phosphorus,Phosphorus (all),Dissolved phosphorus,,,,Dissolved,dissolved,filtered,filtered,,,Phosphorus as P,2646,,
2,MN PCA,MN PCA,STORET/WQX,Total phosphorus,Phosphorus (all),Total phosphorus,,,,Total,total,total,unfiltered,,,Phosphorus,67973,,
1,MN TRLDNR,MN TRLDNR,STORET/WQX,Orthophosphate,Orthophosphate,Orthophosphate,,,,Dissolved,dissolved,filtered,filtered,,,Orthophosphate as P,631,,
0,MN TRLDNR,MN TRLDNR,STORET/WQX,Total phosphorus,Phosphorus (all),Total phosphorus,,,,Total,total,total,unfiltered,,,Phosphorus as P,915,,
1,MN TSMSC,MN TSMSC,STORET/WQX,Orthophosphate,Orthophosphate,Orthophosphate,,,,Dissolved,dissolved,filtered,filtered,,,Orthophosphate as P,43,,
0,MN TSMSC,MN TSMSC,STORET/WQX,Orthophosphate,Orthophosphate,Orthophosphate,,,,Dissolved,dissolved,filtered,filtered,,,Soluble Reactive Phosphorus (SRP),88,,
0,MN TSMSC,MN TSMSC,STORET/WQX,Total phosphorus,Phosphorus (all),Total phosphorus,,,,Total,total,total,unfiltered,,,Phosphate-phosphorus as P,43,,
1,MN TSMSC,MN TSMSC,STORET/WQX,Total phosphorus,Phosphorus (all),Total phosphorus,,,,Total,total,total,unfiltered,,,Phosphorus,89,,
0,MO CC,MO CC,STORET/WQX,Total phosphorus,Phosphorus (all),Total phosphorus,,,,Total,total,total,total,,,Phosphorus,1700,,
0,MO DNR,MO DNR,STORET/WQX,Orthophosphate,Orthophosphate,Orthophosphate,,,,,,,unknown,,,Orthophosphate as P,70,,
0,MO DNR,MO DNR,STORET/WQX,Total phosphorus,Phosphorus (all),Total phosphorus,,,,Total,total,total,total,,,Phosphorus,1055,,
2,MO MEC,MO MEC,STORET/WQX,Total phosphorus,,Total phosphorus,,,,Total,,,,,,Phosphorus,,,
0,MO MSU,MO MSU,STORET/WQX,Total phosphorus,Phosphorus (all),Total phosphorus,,,,Total,total,total,total,,,Phosphorus,105,,
0,MO UMC,MO UMC,STORET/WQX,Orthophosphate,Orthophosphate,Orthophosphate,,,,,,,unknown,,,Orthophosphate as P,93,,
1,MO UMC,MO UMC,STORET/WQX,Total phosphorus,Phosphorus (all),Total phosphorus,,,,Total,total,total,total,,,Phosphorus,172,,
0,MO VRSR,MO VRSR,STORET/WQX,Orthophosphate,Orthophosphate,Orthophosphate,,,,,,,unknown,,,Orthophosphate as P,3,,
0,MO VRSR,MO VRSR,STORET/WQX,Total phosphorus,Phosphorus (all),Total phosphorus,,,,Total,total,total,total,,,Phosphorus,3,,
0,MO WSSC,MO WSSC,STORET/WQX,Total dissolved phosphorus,Phosphorus (all),Dissolved phosphorus,,,,Dissolved,dissolved,filtered,filtered,,,Phosphate-phosphorus as PO4,195,,
2,MO TSACFOX,MO TSACFOX,STORET/WQX,Total phosphorus,,Total phosphorus,,,,Total,,,,,,Phosphorus,,,
1,MS DEQ,MS DEQ,STORET/WQX,Total phosphorus,Phosphorus (all),Total phosphorus,,,,Total,total,total,total,,,Phosphorus,1580,,
2,MS TBCI,MS TBCI,STORET/WQX,,,Total phosphorus,,,,Total,,,,,,Phosphorus,,,
2,MS TBCI,MS TBCI,STORET/WQX,,,,,,,,,,,,,,,,
0,MT DEQ,MT DEQ WQPB,STORET/WQX,Orthophosphate,Orthophosphate,Orthophosphate,,,,Dissolved,dissolved,filtered,filtered,,,Orthophosphate as P,2993,,
0,MT DEQ,MT DEQ WQPB,STORET/WQX,Orthophosphate,Orthophosphate,Orthophosphate,,,,Total,total,total,unfiltered,,,Orthophosphate as P,1973,,
1,MT DEQ,MT DEQ WQPB,STORET/WQX,Total dissolved phosphorus,Phosphorus (all),Dissolved phosphorus,,,,Dissolved,dissolved,filtered,filtered,,,Phosphate-phosphorus as P,757,,
1,MT DEQ,MT DEQ WQPB,STORET/WQX,Total phosphorus,Phosphorus (all),Total phosphorus,,,,Total,total,total,unfiltered,,,Phosphate-phosphorus as P,5171,,
0,MT PPLC,MT PPLC,STORET/WQX,Orthophosphate,Orthophosphate,Orthophosphate,,,,,,,unknown,,,Orthophosphate as P,310,,
0,MT PPLC,MT PPLC,STORET/WQX,Orthophosphate,Orthophosphate,Orthophosphate,,,,Dissolved,dissolved,filtered,filtered,,,Orthophosphate as P,566,,
0,MT PPLC,MT PPLC,STORET/WQX,Total phosphorus,Phosphorus (all),Total phosphorus,,,,Total,total,total,unfiltered,,,Phosphate-phosphorus as P,582,,
0,MT WD,MT WD,STORET/WQX,Orthophosphate,Orthophosphate,Orthophosphate,,,,,,,unknown,,MLR- contact re: unknown fraction,Orthophosphate as P,2371,,
0,MT WD,MT WD,STORET/WQX,Orthophosphate,Orthophosphate,Orthophosphate,,,,Dissolved,dissolved,filtered,filtered,,,Orthophosphate as P,180,,
0,MT WD,MT WD,STORET/WQX,Orthophosphate,Orthophosphate,Orthophosphate,,,,Filterable,filterable,filtered,filtered,,,Orthophosphate as P,538,,
1,MT WD,MT WD,STORET/WQX,Orthophosphate,Orthophosphate,Orthophosphate,,,,,,,unknown,,,Soluble Reactive Phosphorus (SRP),77,,
1,MT WD,MT WD,STORET/WQX,Total dissolved phosphorus,Phosphorus (all),Dissolved phosphorus,,,,Filterable,filterable,filtered,filtered,,,Phosphate-phosphorus as P,541,,
0,MT WD,MT WD,STORET/WQX,Total dissolved phosphorus,Phosphorus (all),Dissolved phosphorus,,,,Dissolved,dissolved,filtered,filtered,,,Phosphate-phosphorus as PO4,446,,
0,MT WD,MT WD,STORET/WQX,Total dissolved phosphorus,Phosphorus (all),Dissolved phosphorus,,,,Dissolved,dissolved,filtered,filtered,,,Phosphorus,12,,
1,MT WD,MT WD,STORET/WQX,Total phosphorus,Phosphorus (all),Total phosphorus,,,,Total,total,total,unfiltered,,,Phosphate-phosphorus as P,1079,,
2,NC DENR,NC DENR,STORET/WQX,Total phosphorus,Phosphorus (all),Total phosphorus,,,,Total,total,total,total,,,Phosphorus ,28013,,
1,NC DENR,NC DENR DWQ,STORET/WQX,Orthophosphate,Orthophosphate,Orthophosphate,,,,Total,total,total,unfiltered,,,Orthophosphate,264,,
0,NC DENR,NC DENR DWQ,STORET/WQX,Orthophosphate,Orthophosphate,Orthophosphate,,,,Dissolved,dissolved,filtered,filtered,,,Orthophosphate as P,2078,,
1,NC DENR,NC DENR DWQ,STORET/WQX,Orthophosphate,Orthophosphate,Orthophosphate,,,,Total,total,total,unfiltered,,,Orthophosphate as P,34751,,
1,NC DENR,NC DENR DWQ,STORET/WQX,Orthophosphate,Orthophosphate,Orthophosphate,,,,,unfiltered,unfiltered,unfiltered,,,Orthophosphate as P,240,,
1,NC DENR,NC DENR DWQ,STORET/WQX,Orthophosphate,Orthophosphate,Orthophosphate,,,,Total,total,total,unfiltered,,,Orthophosphate as PO4,1039,,
0,NC DENR,NC DENR DWQ,STORET/WQX,Total dissolved phosphorus,Phosphorus (all),Dissolved phosphorus,,,,Dissolved,dissolved,filtered,filtered,,,Phosphate-phosphorus as P,1095,,
1,NC DENR,NC DENR DWQ,STORET/WQX,Total phosphorus,Phosphorus (all),Total phosphorus,,,,Total,total,total,unfiltered,,,Phosphate-phosphorus as P,103237,,
0,NC DENR,NC DENR DWQ,STORET/WQX,Total phosphorus,Phosphorus (all),Total phosphorus,,,,Total,total,total,unfiltered,,,Phosphorus as P,14188,,
2,NC DENR-DWR,21NCMONITORING,STORET/WQX,,,,,,,,,,,,,Phosphorus,,,
1,NC TEBCI,NC TEBCI,STORET/WQX,Orthophosphate,Orthophosphate,Orthophosphate,,,,,,,unknown,,,Orthophosphate,39,,
2,NC TEBCI,NC TEBCI,STORET/WQX,,,,,,,,,,,,,Phosphate-phosphorus,39,,
2,NC TEBCI,NC TEBCI,STORET/WQX,,,Total phosphorus,,,,Total,,,,,,Phosphorus,39,,
0,ND DOH,ND DOH,STORET/WQX,Orthophosphate,Orthophosphate,Orthophosphate,,,,Dissolved,dissolved,filtered,filtered,,,Orthophosphate,2,,
0,ND DOH,ND DOH,STORET/WQX,Orthophosphate,Orthophosphate,Orthophosphate,,,,Total,total,total,unfiltered,,,Orthophosphate as P,2,,
1,ND DOH,ND DOH,STORET/WQX,Total dissolved phosphorus,Phosphorus (all),Dissolved phosphorus,,,,Dissolved,dissolved,filtered,filtered,,,Phosphate-phosphorus as P,1919,,
1,ND DOH,ND DOH,STORET/WQX,Total phosphorus,Phosphorus (all),Total phosphorus,,,,Total,total,total,unfiltered,,,Phosphate-phosphorus as P,14504,,
2,NE DEQ,NE DEQ,STORET/WQX,,,,,,,Unknown,,,,,,Phosphate-phosphorus,,,
2,NE DEQ,NE DEQ,STORET/WQX,Total phosphorus,,Total phosphorus,,,,Total,,,,,,"Total Phosphorus, mixed forms",,,
0,NH DES,NH DES,STORET/WQX,Orthophosphate,Orthophosphate,Orthophosphate,,,,Dissolved,dissolved,filtered,filtered,,,Orthophosphate as P,5,,
1,NH DES,NH DES,STORET/WQX,Total phosphorus,Phosphorus (all),Total phosphorus,,,,Total,total,total,unfiltered,,,Phosphate-phosphorus,111,,
1,NH DES,NH DES,STORET/WQX,Total phosphorus,Phosphorus (all),Total phosphorus,,,,Total,total,total,unfiltered,,,Phosphate-phosphorus as P,423,,
1,NJ DEP,NJ DEP,STORET/WQX,Orthophosphate,Orthophosphate,Orthophosphate,,,,Dissolved,dissolved,filtered,filtered,,,Orthophosphate as P,1693,,
1,NJ DEP,NJ DEP,STORET/WQX,Orthophosphate,Orthophosphate,Orthophosphate,,,,Total,total,total,unfiltered,,,Orthophosphate as P,3233,,
0,NJ DEP,NJ DEP,STORET/WQX,Total dissolved phosphorus,Phosphorus (all),Dissolved phosphorus,,,,Dissolved,dissolved,filtered,filtered,,,Phosphate-phosphorus as P,1690,,
0,NJ DEP,NJ DEP,STORET/WQX,Total phosphorus,Phosphorus (all),Total phosphorus,,,,Total,total,total,unfiltered,,,Phosphate-phosphorus as P,5056,,
1,NJ DEP,NJ DEP BFBM,STORET/WQX,Orthophosphate,Orthophosphate,Orthophosphate,,,,Dissolved,dissolved,filtered,filtered,,,Orthophosphate,85,,
1,NJ DEP,NJ DEP BFBM,STORET/WQX,Orthophosphate,Orthophosphate,Orthophosphate,,,,Dissolved,dissolved,filtered,filtered,,,Orthophosphate as P,323,,
0,NJ DEP,NJ DEP BFBM,STORET/WQX,Total dissolved phosphorus,Phosphorus (all),Dissolved phosphorus,,,,Dissolved,dissolved,filtered,filtered,,,Phosphate-phosphorus as P,787,,
0,NJ DEP,NJ DEP BFBM,STORET/WQX,Total dissolved phosphorus,Phosphorus (all),Dissolved phosphorus,,,,Dissolved,dissolved,filtered,filtered,,,Phosphorus as P,78,,
0,NJ DEP,NJ DEP BFBM,STORET/WQX,Total phosphorus,Phosphorus (all),Total phosphorus,,,,Total,total,total,unfiltered,,,Phosphate-phosphorus as P,781,,
0,NJ DEP,NJ DEP BFBM,STORET/WQX,Total phosphorus,Phosphorus (all),Total phosphorus,,,,Total,total,total,unfiltered,,,Phosphorus as P,78,,
1,NJ DEP,NJ DEP BMWW,STORET/WQX,Orthophosphate,Orthophosphate,Orthophosphate,,,,Total,total,total,unfiltered,,,Orthophosphate as P,7661,,
0,NJ DEP,NJ DEP BMWW,STORET/WQX,Total phosphorus,Phosphorus (all),Total phosphorus,,,,Total,total,total,unfiltered,,,Phosphate-phosphorus as P,6179,,
1,NJ GSWA,NJ GSWA,STORET/WQX,Orthophosphate,Orthophosphate,Orthophosphate,,,,,,,unknown,,,Orthophosphate,47,,
0,NJ HDG,NJ HDG,STORET/WQX,Orthophosphate,Orthophosphate,Orthophosphate,,,,,,,unknown,,MLR- contact re: unknown fraction,Orthophosphate as P,9920,,
0,NJ SBMWA,NJ SBMWA,STORET/WQX,Orthophosphate,Orthophosphate,Orthophosphate,,,,,,,unknown,,,Orthophosphate,417,,
1,NV DECNR,NV DECNR,STORET/WQX,Orthophosphate,Orthophosphate,Orthophosphate,,,,,,,unknown,,MLR- contact re: unknown fraction,Orthophosphate as P,3587,,
0,NV DECNR,NV DECNR,STORET/WQX,Total phosphorus,Phosphorus (all),Total phosphorus,,,,Total,total,total,unfiltered,,,Phosphorus as P,3596,,
0,NV TSP,NV TSP,STORET/WQX,Orthophosphate,Orthophosphate,Orthophosphate,,,,Total,total,total,unfiltered,,,Orthophosphate as P,127,only 3 dissolved records,"Not very many totals either, these will likely get dropped during screening"
2,NV TSP,NV TSP,STORET/WQX,Total phosphorus,Phosphorus (all),Total phosphorus,,,,Total,total,total,unfiltered,,,Phosphate-phosphorus,127,only 3 dissolved records,"Not very many totals either, these will likely get dropped during screening"
2,NV DEP,NV DEP,STORET/WQX,Total phosphorus,,Total phosphorus,,,,Total,,,,,,Phosphorus,,,
0,OH EPA,OH EPA DSW,STORET/WQX,Orthophosphate,Orthophosphate,Orthophosphate,,,,Total,total,total,total,,,Orthophosphate,51,,
0,OH EPA,OH EPA DSW,STORET/WQX,Total phosphorus,Phosphorus (all),Total phosphorus,,,,Total,total,total,total,,,Phosphorus,100,,
1,OK CONC,OK CONC,STORET/WQX,Orthophosphate,Orthophosphate,Orthophosphate,,,,,,,unknown,,,Orthophosphate,15,,
1,OK CONC,OK CONC,STORET/WQX,Orthophosphate,Orthophosphate,Orthophosphate,,,,,,,unknown,,,Orthophosphate as P,1108,,
2,OK CONC,OK CONC,STORET/WQX,Total phosphorus,,,,,,Total,,,,,,Phosphorus,,,
1,OK TCN,OK TCN,STORET/WQX,Orthophosphate,Orthophosphate,Orthophosphate,,,,Total,total,total,total,,,Orthophosphate,179,,
1,OK TCN,OK TCN,STORET/WQX,Orthophosphate,Orthophosphate,Orthophosphate,,,,,,,unknown,,,Orthophosphate as P,7,,
1,OK TCN,OK TCN,STORET/WQX,Orthophosphate,Orthophosphate,Orthophosphate,,,,Total,total,total,total,,,Orthophosphate as P,416,,
1,OK TCN,OK TCN,STORET/WQX,Total phosphorus,Phosphorus (all),Total phosphorus,,,,Total,total,total,total,,,Phosphorus,602,,
1,OK TEST,OK TEST,STORET/WQX,Orthophosphate,Orthophosphate,Orthophosphate,,,,Total,total,total,total,,,Orthophosphate as PO4,27,,
0,OK TEST,OK TEST,STORET/WQX,Total phosphorus,Phosphorus (all),Total phosphorus,,,,Total,total,total,total,,,Phosphorus,206,,
1,OK TMI,OK TMI,STORET/WQX,Total phosphorus,Phosphorus (all),Total phosphorus,,,,Total,total,total,total,,,Phosphorus,39,,
1,OK TOT,OK TOT,STORET/WQX,Orthophosphate,Orthophosphate,Orthophosphate,,,,,,,unknown,,,Orthophosphate,207,,
0,OK TWN,OK TWN,STORET/WQX,Total phosphorus,Phosphorus (all),Total phosphorus,,,,Total,total,total,total,,,Phosphorus,42,,
1,OK WRB,OK WRB,STORET/WQX,Orthophosphate,Orthophosphate,Orthophosphate,,,,,,,unknown,,MLR- contact re: unknown fraction,Orthophosphate as P,7301,,
1,OKT ONENRD,OKT ONENRD,STORET/WQX,Orthophosphate,Orthophosphate,Orthophosphate,,,,,,,unknown,,,Orthophosphate as P,69,,
0,OR DEQ,OR DEQ,STORET/WQX,Orthophosphate,Orthophosphate,Orthophosphate,,,,Dissolved,dissolved,filtered,filtered,,,Orthophosphate as P,3423,,
2,OR DEQ,OR DEQ,STORET/WQX,Total phosphorus,Phosphorus (all),Total phosphorus,,,,Total,total,total,unfiltered,,,Phosphate-phosphorus,385,,
0,PA DEP,PA DEP,STORET/WQX,Orthophosphate,Orthophosphate,Orthophosphate,,,,Dissolved,dissolved,filtered,filtered,,,Orthophosphate,626,,
0,PA DEP,PA DEP,STORET/WQX,Orthophosphate,Orthophosphate,Orthophosphate,,,,Total,total,total,unfiltered,,,Orthophosphate,4065,,
0,PA DEP,PA DEP,STORET/WQX,Orthophosphate,Orthophosphate,Orthophosphate,,,,Dissolved,dissolved,filtered,filtered,,,Orthophosphate as P,1385,,
0,PA DEP,PA DEP,STORET/WQX,Orthophosphate,Orthophosphate,Orthophosphate,,,,Total,total,total,unfiltered,,,Orthophosphate as P,5122,,
1,PA DEP,PA DEP,STORET/WQX,Total dissolved phosphorus,Phosphorus (all),Dissolved phosphorus,,,,Dissolved,dissolved,filtered,filtered,,,Phosphate-phosphorus,342,,
0,PA DEP,PA DEP,STORET/WQX,Total dissolved phosphorus,Phosphorus (all),Dissolved phosphorus,,,,Dissolved,dissolved,filtered,filtered,,,Phosphate-phosphorus as P,1400,,
1,PA DEP,PA DEP,STORET/WQX,Total dissolved phosphorus,Phosphorus (all),Dissolved phosphorus,,,,Dissolved,dissolved,filtered,filtered,,,Phosphorus,275,,
1,PA DEP,PA DEP,STORET/WQX,Total phosphorus,Phosphorus (all),Total phosphorus,,,,Total,total,total,unfiltered,,,Phosphate-phosphorus,3683,,
1,PA DEP,PA DEP,STORET/WQX,Total phosphorus,Phosphorus (all),Total phosphorus,,,,Total,total,total,unfiltered,,,Phosphate-phosphorus as P,5147,,
1,PA DEP,PA DEP,STORET/WQX,Total phosphorus,Phosphorus (all),Total phosphorus,,,,Total,total,total,unfiltered,,,Phosphorus,612,,
0,PA KWMN,PA KWMN,STORET/WQX,Orthophosphate,Orthophosphate,Orthophosphate,,,,,,,unknown,,,Orthophosphate as PO4,700,,
0,PA KWMN,PA KWMN,STORET/WQX,Orthophosphate,Orthophosphate,Orthophosphate,,,,,,,unknown,,,Orthophosphate as PO4,1,,
1,PA SWRC,PA SWRC,STORET/WQX,Orthophosphate,Orthophosphate,Orthophosphate,,,,Dissolved,dissolved,filtered,filtered,,,Orthophosphate as P,1538,,
0,PA SWRC,PA SWRC,STORET/WQX,Total dissolved phosphorus,Phosphorus (all),Dissolved phosphorus,,,,Dissolved,dissolved,filtered,filtered,,,Phosphorus,881,,
0,PA SWRC,PA SWRC,STORET/WQX,Total phosphorus,Phosphorus (all),Total phosphorus,,,,Total,total,total,unfiltered,,,Phosphorus,1165,,
1,RG3 SRBC,RG3 SRBC,STORET/WQX,Orthophosphate,Orthophosphate,Orthophosphate,,,,Dissolved,dissolved,filtered,filtered,,,Orthophosphate,6,,
1,RG3 SRBC,RG3 SRBC,STORET/WQX,Orthophosphate,Orthophosphate,Orthophosphate,,,,Dissolved,dissolved,filtered,filtered,,,Orthophosphate as P,1156,,
1,RG3 SRBC,RG3 SRBC,STORET/WQX,Orthophosphate,Orthophosphate,Orthophosphate,,,,Total,total,total,unfiltered,,,Orthophosphate as P,1134,,
1,RG3 SRBC,RG3 SRBC,STORET/WQX,Total dissolved phosphorus,Phosphorus (all),Dissolved phosphorus,,,,Dissolved,dissolved,filtered,filtered,,,Phosphate-phosphorus as P,1176,,
1,RG3 SRBC,RG3 SRBC,STORET/WQX,Total dissolved phosphorus,Phosphorus (all),Dissolved phosphorus,,,,Dissolved,dissolved,filtered,filtered,,,Phosphorus,10,,
1,RG3 SRBC,RG3 SRBC,STORET/WQX,Total phosphorus,Phosphorus (all),Total phosphorus,,,,Total,total,total,unfiltered,,,Phosphate-phosphorus as P,1383,,
1,RG3 SRBC,RG3 SRBC,STORET/WQX,Total phosphorus,Phosphorus (all),Total phosphorus,,,,Total,total,total,unfiltered,,,Phosphorus,313,,
0,RG3 TSWQC,RG3 TSWQC,STORET/WQX,Orthophosphate,Orthophosphate,Orthophosphate,,,,,,,unknown,,,Orthophosphate as P,3117,,
0,RG3 TSWQC,RG3 TSWQC,STORET/WQX,Orthophosphate,Orthophosphate,Orthophosphate,,,,Dissolved,dissolved,filtered,filtered,,,Orthophosphate as P,471,,
0,RG3 TSWQC,RG3 TSWQC,STORET/WQX,Orthophosphate,Orthophosphate,Orthophosphate,,,,Filterable,filterable,filtered,filtered,,,Orthophosphate as P,153,,
2,RG3 TSWQC,RG3 TSWQC,STORET/WQX,Total phosphorus,Phosphorus (all),Total phosphorus,,,,Total,total,total,unfiltered,,,Phosphate-phosphorus,551,,
0,RG4 DRBC,RG4 DRBC,STORET/WQX,Orthophosphate,Orthophosphate,Orthophosphate,,,,Dissolved,dissolved,filtered,filtered,,,Orthophosphate as P,3474,,
2,RG4 DRBC,RG4 DRBC,STORET/WQX,Total dissolved phosphorus,Phosphorus (all),Dissolved phosphorus,,,,Dissolved,dissolved,filtered,filtered,,,Phosphate-phosphorus,811,,
2,RG4 DRBC,RG4 DRBC,STORET/WQX,Total dissolved phosphorus,Phosphorus (all),Dissolved phosphorus,,,,Filterable,filterable,filtered,filtered,,,Phosphate-phosphorus,578,,
2,RG4 DRBC,RG4 DRBC,STORET/WQX,Total phosphorus,Phosphorus (all),Total phosphorus,,,,Total,total,total,unfiltered,,,Phosphate-phosphorus,3455,,
2,RG4 DRBC,RG4 DRBC,STORET/WQX,,,,,,,Non-Filterable (Particle),,,,,,Phosphate-phosphorus,578,,
0,RG5 UMESC,RG5 UMESC,US GS,Orthophosphate,Orthophosphate,Orthophosphate,,,,Dissolved,dissolved,filtered,filtered,,,Soluble Reactive Phosphorus,30418,,
1,RG5 UMESC,RG5 UMESC,US GS,Total phosphorus,Phosphorus (all),Total phosphorus,,,,Total,total,total,unfiltered,,,Total Phosphorus,30227,,
0,RG8 ORSANCO,RG8 ORSANCO,STORET/WQX,Orthophosphate,Orthophosphate,Orthophosphate,,,,Total,total,total,total,,,Orthophosphate,42,,
0,RG8 ORSANCO,RG8 ORSANCO,STORET/WQX,Total phosphorus,Phosphorus (all),Total phosphorus,,,,Total,total,total,total,,,Phosphate-phosphorus,18,,
0,RG8 ORSANCO,RG8 ORSANCO,STORET/WQX,Total phosphorus,Phosphorus (all),Total phosphorus,,,,Total,total,total,total,,,Phosphorus,3220,,
2,RG8 ORSANCO,RG8 ORSANCO,STORET/WQX,,,,,,,Unknown,,,,,,Phosphorus,3220,,
0,SC DHEC,SC DHEC,STORET/WQX,Total phosphorus,Phosphorus (all),Total phosphorus,,,,Total,total,total,total,,,Phosphate-phosphorus as P,23931,,
1,SC DHEC,SC DHEC,STORET/WQX,Total phosphorus,Phosphorus (all),Total phosphorus,,,,Total,total,total,total,,,Phosphorus,25859,,
1,SC SCPSA,SC SCPSA,STORET/WQX,Orthophosphate,Orthophosphate,Orthophosphate,,,,Total,total,total,total,,,Orthophosphate as P,2782,,
0,SC SCPSA,SC SCPSA,STORET/WQX,Total phosphorus,Phosphorus (all),Total phosphorus,,,,Total,total,total,total,,,Phosphate-phosphorus as P,2934,,
1,SD DENR,SD DENR,STORET/WQX,Orthophosphate,Orthophosphate,Orthophosphate,,,,Dissolved,dissolved,filtered,filtered,,,Orthophosphate,45,,
1,SD DENR,SD DENR,STORET/WQX,Orthophosphate,Orthophosphate,Orthophosphate,,,,Total,total,total,unfiltered,,,Orthophosphate,5671,,
1,SD DENR,SD DENR,STORET/WQX,Orthophosphate,Orthophosphate,Orthophosphate,,,,Dissolved,dissolved,filtered,filtered,,,Orthophosphate as P,7420,,
1,SD DENR,SD DENR,STORET/WQX,Orthophosphate,Orthophosphate,Orthophosphate,,,,Filterable,filterable,filtered,filtered,,,Orthophosphate as P,10,,
1,SD DENR,SD DENR,STORET/WQX,Orthophosphate,Orthophosphate,Orthophosphate,,,,Total,total,total,unfiltered,,,Orthophosphate as P,5071,,
0,SD DENR,SD DENR,STORET/WQX,Total dissolved phosphorus,Phosphorus (all),Dissolved phosphorus,,,,Dissolved,dissolved,filtered,filtered,,,Phosphate-phosphorus,7944,,
1,SD DENR,SD DENR,STORET/WQX,Total dissolved phosphorus,Phosphorus (all),Dissolved phosphorus,,,,Dissolved,dissolved,filtered,filtered,,,Phosphate-phosphorus as P,5797,,
0,SD DENR,SD DENR,STORET/WQX,Total phosphorus,Phosphorus (all),Total phosphorus,,,,Total,total,total,unfiltered,,,Phosphate-phosphorus,6757,,
1,SD DENR,SD DENR,STORET/WQX,Total phosphorus,Phosphorus (all),Total phosphorus,,,,Total,total,total,unfiltered,,,Phosphate-phosphorus as P,14704,,
0,SD DENR,SD DENR,STORET/WQX,Total phosphorus,Phosphorus (all),Total phosphorus,,,,Total,total,total,unfiltered,,,Phosphate-phosphorus as PO4,683,,
0,SD TFSS,SD TFSS,STORET/WQX,Total phosphorus,Phosphorus (all),Total phosphorus,,,,Total,total,total,total,,,Phosphorus,20,,
1,TN DEC,TN DEC,STORET/WQX,Organic phosphorus,Organic phosphorus,Organic phosphorus,,,,Total,total,total,total,,,Organic phosphorus,172,,
1,TN DEC,TN DEC,STORET/WQX,Orthophosphate,Orthophosphate,Orthophosphate,,,,,,,unknown,,,Orthophosphate,1,,
